Transit_Sy,Transit_Li,Station_Na,Built_Year,Lat,Lon,Station_ID,ALAND00,Geo_FIPS,Geo_HU100,TotalPop00,AreaTotal00,Aland00,PopDen00,Awater00,MedianAge00,MedianHouseholdSize00,TotalHH00,Pop15YearOver00,Single00,Married00,PctSingleOver15Yrs00,Pop25YearsOver00,LessThanHighSchool00,PctLessThanHighSchool00,HighSchoolOrMore00,PctBachelorDegreeOrMore00,BachelorDegreeOrMor00,MasterDegreeOrMore00,ProfessionDegreeOrMore00,DoctoralDegreeOrMore00,CivilianOver16InLaborForce00,Employed,Unemployed,UnemploymentRate00,TotalHHInc00,MedianHHIncome00,MedianHHIncome00In15Dollars,TotalCapitaIncome00,MedianCapitaIncome00,MedianCapitaIncomeIn15Dollars,Owner_OccupiedHU,Renter_OccupiedHU,PctOwnerOccupiedHU00,HU00,Occupied_HU00,Vac_HU00,Vacancy00,PctSingleFamilyUnit,HU_1Unit,HU_2Units,HU_3or4Uni,HU_5to9Uni,HU_10to19U,HU_20to49U,HU_50Unito,Pct50UnitsOrMore,MedianYearBuilt,MedianBuildingHistoryTill2000,MedianOwnerOccupiedHUValue,MedianOwnerOccupiedHUValueIn15Dollars,MedianGrossRent00,MedianGrossRent00In2015Dollars,WorkersOve,PctCarTW00,CarToWork,PctTranTW00,PublicTran,BikeToWork,WalkToWork,WorkAtHome,MedianTimeTW00,County,State,ALAND_12,TotalPop15,PopDen15,ALANDSQMIL,CivilianOver16InLaborForce,Employed15,Unemployed15,UnemploymentRate15,MedianMedianHHIncome15,HH15,TotalHHIncome15,MedianHHIncome15,HU15,OccupiedHU15,VacantHU15,Vacancy15,OwnerOccupiedHU15,MedianOwnerOccupiedHUValue15,PctOwnerOccupiedHU15,RenterOccupiedHU15,MedianGrossRent15,WorkersOver16,PctCartW15,CarTW,DriveAlong,CarPoolTW,PublicTran_1,PctTranTW15,BicycleTW,WalkTW,WorkAtHome_1,MedianAveCommute,TotalCommuteTime15,AverageCommuteTime,UnemploymentRateDecrease,StandardizedUnemploymentRateDecrease,PctPropertyValueIncrease,StandardizedPctPropertyValueIncrease,VacancyDecrease,StandardizedVacancyDecrease,PctPopulationDensityIncrease,StandardizedPopulationDensityIncrease,PctMedianHHIncomeIncrease,StandardizedPctMedianHHIncomeIncrease,PctTranTWIncrease,StandardizedPctTranTWIncrease,PctCarTWDecrease,StandardizedPctCarTWDecrease,TimeTWDecrease,StandardizedTimeTWDecrease,DI,TPCI,predictedvalueDI,residualsDI,predictedvalueTPCI,residualsTPCI,DICluster,TPCICluster
San Francisco Municipal Transportation Agency,INGLESIDE/THIRD(KT),UCSF/Mission Bay,2007,37.76854,-122.389274,21,3725936,6075060700,1942,3327,1.9589815,1.4388626,2312.243018,0.5201186,36.57965134,1.879600242,1651,3074,1983,1091,0.645087833,2879,289,0.100382077,2590,0.640152831,1843,693,230,30,2307,2221,86,0.03727785,140135708,84879.29013,117517.0748,201800461,60655.38353,83978.5916,546,1105,0.330708661,1942,1651,291,0.14984552,0.191040165,371,337,288,164,131,173,300,0.154479918,1953.037075,46.96292482,572002.5641,791948.9901,1189.332127,1646.654116,2275,0.601318681,1368,0.152527473,347,104,215,203,24.48923077, San Francisco County, California,3724173,14210,12410.72,1.437911295,10050,9624,426,0.04238806,164135,6673,836251597,125318.6868,7251,6673,578,0.079713143,2315,815472.6998,0.346920426,4358,2703.323543,9539,0.335779432,3203,2539,664,3792,0.397525946,614,1213,499,32,310309,32.53055876,-0.00511021,-0.036980313,0.029703567,-0.921544747,0.070132377,2.293058597,4.367394303,4.556822338,0.066387051,-0.112478014,0.244998474,4.863502402,0.26553925,3.604624293,-8.04132799,-3.340724745,5.778877861,5.127401949,3.34301578,2.435862081,0.594703835,4.532698114,3,1
TriMet,MAX Red Line,Cascades MAX Station,2001,45.57239,-122.55829,77,24858612,41051007300,272,2034,12.06999,9.801002,207.5298015,2.268987,34.7,2.48,240,1936,1102,834,0.569214876,1575,527,0.334603175,1048,0.032380952,51,29,29,23,306,278,28,0.091503268,9194160,38309,53039.57668,18541944,9116,12621.28432,120,120,0.5,272,240,32,0.117647059,0.797794118,217,18,0,0,0,0,0,0,1951,49,128600,178049.272,723,1001.00796,278,0.76618705,213,0.082733813,23,0,5,29,22, Multnomah County, Oregon,24859380,1535,159.9248,9.598260687,357,307,50,0.140056022,35417,197,6977149,35417,223,197,26,0.116591928,64,189600,0.324873096,133,793,286,0.395104895,113,108,5,21,0.073426573,0,85,25,24,6864,24,-0.048552754,-0.706850546,0.064873773,-0.823880005,0.001055131,0.678499459,-0.229388749,-0.907160931,-0.332253343,-1.409126303,-0.00930724,-0.373739669,0.371082155,5.33775386,-2,-0.674637902,-3.168518327,4.289376288,0.431814694,-3.600333021,-0.239381134,4.528757422,2,3
WMATA,Metrorail Green Line(Green),BRANCH AVE METRO STATION,Pre-2000,38.827022,-76.911802,51,4742316,24033801905,1209,3425,1.830407,1.825696,1875.99688,0.004710833,39.2,2.96,1156,2739,1296,1443,0.473165389,2358,294,0.124681934,2064,0.194656489,459,147,37,29,1676,1526,150,0.089498807,73024520,63170,87460.1284,86830600,25352,35100.35104,1038,118,0.897923875,1209,1156,53,0.043837883,0.970223325,1173,15,0,8,0,0,0,0,1968,32,149800,207401.096,1024,1417.74848,1488,0.902553763,1343,0.07594086,113,0,10,14,37, Prince George's County, Maryland,8786365,8128,2353.1895,3.392434636,4933,4538,395,0.080072978,77537.5,3486,282914499,81157.34337,4111,3486,625,0.152031136,2162,217735.4302,0.620195066,1324,1519.208459,4390,0.715261959,3140,2723,417,1193,0.271753986,0,0,17,36.5,160950,36.66287016,0.009425829,0.18716078,0.04982777,-0.865661505,-0.108193253,-1.874989363,0.254367491,-0.332142277,-0.072064667,-0.562816679,0.195813126,3.850565776,0.187291804,2.319715945,0.337129841,0.356756375,-3.448449044,6.527038096,-2.589361746,-0.859087298,2.078793581,4.448244515,3,1
WMATA,Metrorail Red Line(Red),UNION STATION METRO STATION,Pre-2000,38.89777,-77.006402,54,3170514,11001005900,6906,14284,1.2298053,1.2298053,11614.84668,0,34.67530104,2.085016103,6210,11957,9460,2497,0.791168353,9933,2406,0.242222893,7527,0.384173966,3816,1810,750,243,7658,6619,1039,0.135675111,244713995,39406.44042,54559.00489,345618080,24196.16914,33500.0801,2010,4200,0.323671498,6906,6210,696,0.100781929,0.415001448,2866,511,353,408,515,478,1817,0.263104547,1949.611208,50.38879235,195241.6418,270315.9579,506.3833333,701.0978527,6523,0.408554346,2665,0.313812663,2047,93,1394,255,26.67009045, District of Columbia, District of Columbia,9706829,21130,20300.37,3.747827789,14424,13603,821,0.056919024,99330,10232,893339372,87308.38272,11117,10232,885,0.079607808,2855,626938.8091,0.279026583,7377,1703.848177,13375,0.264373832,3536,3033,503,5050,0.377570093,703,3355,666,24,349821,26.15484112,0.078756087,1.256211328,1.319281533,2.659506192,0.021174121,1.148745471,0.747794919,0.254372069,0.600256143,1.624025499,0.063757431,1.13097432,0.144180514,1.611781566,0.515249328,0.435361944,6.94286056,3.178117829,2.637555758,4.305304802,-0.478387728,3.656505557,2,3
WMATA,"Metrorail Red Line(Red), Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",GALLERY PLACE CHINATOWN METRO STATION,Pre-2000,38.898354,-77.021527,39,3146753,11001005800,6837,13630,1.2080372,1.2080372,11282.76513,0,34.50180484,2.012024164,6042,11092,8537,2555,0.769653805,9079,3037,0.334508206,6042,0.217204538,1972,861,373,122,6403,5397,1006,0.157113853,159103232,26332.87521,36458.39238,254537559,18674.80257,25855.63765,706,5336,0.116848726,6837,6042,795,0.11627907,0.111598654,763,137,288,373,852,532,3842,0.561942372,1971.616352,28.3836478,173450,240144.994,531.4553973,735.8106267,5266,0.349411318,1840,0.339156855,1786,48,1382,138,25.99088492, District of Columbia, District of Columbia,9878198,21830,16007.575,3.813993732,14851,14064,787,0.052993064,86108,11988,945636695,78881.93986,13267,11988,1279,0.096404613,2807,479198.2187,0.234150817,9181,1524.343318,13918,0.2289122,3186,2864,322,4636,0.333093835,627,4777,675,23,335174,24.08205202,0.104120788,1.647326961,0.995453708,1.76026321,0.019874457,1.118368109,0.418763469,-0.136732387,1.163615418,3.45645104,-0.00606302,-0.306927316,0.120499118,1.222907219,1.908832903,1.050361633,7.845676933,1.966341535,4.129093292,3.716583641,-1.012273282,2.978614817,2,2
MARTA,"GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)",NORTH AVENUE STATION,Pre-2000,33.771705,-84.387411,79,6460886,13121001800,8659,20665,2.5241769,2.5241769,8186.827159,0,28.05491411,1.588430603,7385,19464,12056,7408,0.619399918,10850,1916,0.176589862,8934,0.454285714,4929,1847,624,253,16129,7705,8424,0.522289045,238245910,32260.78673,44665.70444,349942775,16934.08057,23445.57323,1678,5707,0.227217332,8659,7385,1274,0.147130154,0.114678369,993,193,642,1145,1133,928,3662,0.422912577,1968.543943,31.45605728,179885.3397,249054.8505,629.3662169,871.3701147,7551,0.691564031,5222,0.115878692,875,16,1132,226,22.21586545, Fulton County, Georgia,6456676,29999,12792.02,2.492936648,18199,16070,2129,0.11698445,54073,11817,630408161,53347.56376,13941,11817,2124,0.152356359,4305,202603.3542,0.364305661,7512,1028.657748,15943,0.566769115,9036,8491,545,1180,0.074013674,257,3435,1696,19,306132,19.2016559,0.405304595,6.29148553,-0.186511109,-1.521954949,-0.005226205,0.53168428,0.562512528,0.034135467,0.194374172,0.303822703,-0.041865018,-1.044243546,0.124794916,1.293448912,3.014209549,1.538173276,5.639173031,1.787378642,4.78613003,0.853043001,-1.071619586,2.858998228,2,2
WMATA,"Metrorail Yellow Line(Yellow), Metrorail Green Line(Green)",COLUMBIA HEIGHTS METRO STATION,Pre-2000,38.928711,-77.032454,48,3864375,11001002701,23310,51660,1.49950038,1.49950038,34451.4751,0,30.81416763,2.294516814,21203,43031,31299,11732,0.727359346,33770,12297,0.364139769,21473,0.319366301,10785,5364,2029,824,28715,26414,2301,0.080132335,696935450,32869.66231,45508.70486,1049750269,20320.36913,28133.95746,5030,16173,0.237230581,23310,21203,2107,0.09039039,0.241870442,5638,725,1225,1190,2275,3997,8260,0.354354354,1943.564736,56.43526384,191468.9662,265092.6131,579.3220182,802.0829206,25973,0.394371078,10243,0.440110884,11431,721,2746,573,30.3494398, District of Columbia, District of Columbia,3864941,57922,38672.64,1.492262127,39516,36695,2821,0.071388805,77294,23942,1813362896,75739.82524,25868,23942,1926,0.074454925,7164,556295.282,0.299223123,16778,1363.656395,35977,0.248241932,8931,7173,1758,18197,0.505795369,2728,3951,1924,32,1126061,31.29946911,0.00874353,0.176639957,1.09849409,2.046397797,0.015935465,1.026301112,0.12252494,-0.488857416,0.664293138,1.832317138,0.065684485,1.170660609,0.146129145,1.64378021,-0.950029302,-0.211277352,4.592798587,2.603163466,1.524011599,3.068786988,-0.062253594,2.66541706,1,3
BART,"DUBLIN/PLEASANTON TO DALY CITY, FREMONT TO DALY CITY, FREMONT TO RICHMOND",Lake Merritt BART,Pre-2000,37.79760237,-122.2654984,8,5367687,6001403000,10538,19588,2.6567493,2.0834679,9401.63273,0.57328148,39.50575352,1.91864504,10111,17286,10322,6964,0.597130626,15095,4540,0.300761842,10555,0.275852931,4164,1474,545,171,10192,9670,522,0.051216641,278905412,27584.35486,38191.09099,397038817,20269.49239,28063.51761,1317,8794,0.130254179,10538,10111,427,0.040520023,0.078193206,824,375,613,784,1296,2504,4022,0.38166635,1956.783071,43.21692921,172338.041,238605.4645,607.5900614,841.2205918,9420,0.542144374,5107,0.23566879,2220,120,1352,436,28.59978769, Alameda County, California,5138362,19245,11628.5,1.983932744,11214,10209,1005,0.089620118,34567,10569,428989033,40589.36825,11617,10569,1048,0.090212619,1584,369154.3403,0.149872268,8985,1021.655648,9892,0.449555196,4447,3757,690,2823,0.285382127,442,1712,374,28,271831,27.47988273,-0.038403477,-0.550351917,0.547132799,0.51531327,-0.049692597,-0.507639406,0.236859632,-0.352953059,0.062796773,-0.124156028,0.049713337,0.841746383,0.092589178,0.764595574,1.119904952,0.702201355,-1.01978714,2.308543312,-0.462702863,-0.557084277,-0.270536889,2.579080201,1,3
MARTA,"GOLD-Northeast Doraville Line(GOLD), RED-North South North Springs Line(RED)",MIDTOWN STATION,Pre-2000,33.780737,-84.386657,80,9089740,13121001100,9490,21362,3.5292953,3.5134894,6079.995574,0.01580586,29.21559779,1.573823384,8108,20589,12001,8588,0.582884064,12194,902,0.073970805,11292,0.625143513,7623,3250,1341,487,17822,9681,8141,0.456794973,432267090,53313.65195,73813.8174,685367903,32083.50824,44420.25883,3056,5052,0.376911692,9490,8108,1382,0.145626976,0.202002107,1917,262,538,704,919,1145,4032,0.424868282,1963.093783,36.90621707,290397.1531,402060.6665,773.3048298,1070.656003,9549,0.729500471,6966,0.10723636,1024,78,949,436,21.99424023, Fulton County, Georgia,9071079,29016,10619.03,3.502363332,18876,17779,1097,0.058116126,75375,12965,971823623,74957.47189,15917,12965,2952,0.185462085,5742,267078.76,0.44288469,7223,1180.008584,17608,0.592685143,10436,9781,655,1231,0.069911404,253,3079,2320,18,348492,19.7916856,0.398678846,6.189318591,-0.335725222,-1.936310152,-0.039835109,-0.277237966,0.746552258,0.252894977,0.015493772,-0.278017391,-0.037324956,-0.950744257,0.136815328,1.490837178,2.202554637,1.179983406,3.95064806,1.720076328,4.51945937,-0.56881131,-0.85787188,2.577948208,2,2
WMATA,Metrorail Red Line(Red),TWINBROOK METRO STATION,Pre-2000,39.062389,-77.120792,38,8467400,24031700905,8466,19036,3.2606842,3.2606842,5838.038532,0,36.00693423,2.2608708,8096,15790,7974,7816,0.505003167,13873,1820,0.131190081,12053,0.513515462,7124,4135,2372,1518,9821,9444,377,0.03838713,410356651,50686.34523,70176.2587,518670196,27246.80584,37723.74762,2415,5681,0.298295455,8466,8096,370,0.043704229,0.299196787,2533,42,101,617,979,666,3490,0.412237184,1971.678242,28.32175762,176284.3892,244069.2626,981.0302764,1358.256038,9312,0.736361684,6857,0.187070447,1742,20,342,267,31.32517182, Montgomery County, Maryland,7092254,20507,8134.694,2.738334695,12317,11438,879,0.07136478,74177,8066,589041131,73027.66315,8614,8066,548,0.063617367,2013,381368.3557,0.24956608,6053,1689.908971,11233,0.650048963,7302,5884,1418,3013,0.268227544,149,439,241,30,340643,30.32520253,-0.032977651,-0.466687398,0.562541517,0.558101998,-0.019913138,0.188403052,0.393395051,-0.166886651,0.040632039,-0.19625074,0.081157097,1.489307857,0.086312721,0.661529315,0.999969293,0.64927278,-0.083319738,2.800109952,-1.367515275,1.284195537,0.639758692,2.16035126,3,1
